,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
18,570753,0.35000000000000003,False,Zuid,52.34904,4.86765,Private room,3,1,2,1,75.0,4,30,True,6,1,4.87,False,25.0,300.0,0.06,0.11,0.17,4.99,0.43561643835616437,375.0
19,575603,0.3600000000000001,False,Centrum-Oost,52.36112,4.89462,Entire home/apt,4,2,4,6,245.0,5,35,True,0,0,4.82,False,61.25,1225.0,0.03,0.25,0.3,4.99,0.0136986301369863,1225.0
20,582028,1.0,False,Slotervaart,52.36021571517094,4.843456508827677,Entire home/apt,3,2,1,5,211.0,5,17,True,5,0,4.8,False,70.33,1055.0,0.08,0.15,0.24,4.99,0.1178082191780822,819.6027397260274
21,582382,0.5800000000000001,False,Oud-Noord,52.39442,4.91478,Entire home/apt,5,3,3,2,170.0,4,14,True,0,0,4.78,False,34.0,680.0,0.09,0.15,0.2,4.99,0.0,850.0
22,590236,0.64,False,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,2,1,1,3,120.0,4,8,True,0,1,4.85,False,60.0,480.0,0.06,0.17,0.19,4.99,0.4547945205479452,600.0
23,623123,0.8,False,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,4,2,2,10,450.0,4,14,True,0,0,4.32,True,112.5,1800.0,0.16,0.22,0.32,10.99,0.019178082191780823,2329.3150684931506
24,627213,0.6699999999999999,False,Zuid,52.35094,4.88552,Entire home/apt,5,3,3,10,100.0,7,30,True,0,0,5.0,False,20.0,700.0,0.07,0.16,0.2,4.99,0.0,799.4109589041096
25,633585,0.96,False,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,2,1,1,5,125.0,4,61,True,0,0,4.83,False,62.5,500.0,0.05,0.12,0.15,4.99,0.4246575342465753,625.1095890410959
26,634170,1.0,True,Westerpark,52.38388,4.86562,Entire home/apt,4,2,4,3,109.0,14,1125,True,0,0,4.88,False,27.25,1526.0,0.07,0.12,0.16,4.99,0.06027397260273973,542.7397260273973
27,653459,1.0,False,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,4,2,5,9,240.0,6,28,True,0,0,4.94,False,60.0,1440.0,0.06,0.12,0.21,4.99,0.23013698630136986,1202.6575342465753
